date,sentiment
2014-11-28,0.227452
2014-11-29,0.184283
2014-11-30,0.156336
2014-12-01,0.364163
2014-12-02,0.309497
2014-12-03,0.189739
2014-12-04,0.259995
2014-12-05,0.224298
2014-12-06,0.178623
2014-12-07,0.158056
2014-12-08,0.217218
2014-12-09,0.063964
2014-12-10,0.19891
2014-12-11,0.356436
2014-12-12,0.292372
2014-12-13,0.2324119999999999
2014-12-14,0.167228
2014-12-15,0.122054
2014-12-16,0.126029
2014-12-17,0.238401
2014-12-18,0.126721
2014-12-19,0.244845
2014-12-20,0.213859
2014-12-21,0.1339209999999999
2014-12-22,0.2692259999999999
2014-12-23,0.296589
2014-12-24,0.347764
2014-12-25,0.217571
2014-12-26,0.348809
2014-12-27,0.3033639999999999
2014-12-28,0.169317
2014-12-29,0.180531
2014-12-30,0.248317
2014-12-31,0.166416
2015-01-01,0.196262
2015-01-02,0.203407
2015-01-03,0.140869
2015-01-04,0.205042
2015-01-05,0.238612
2015-01-06,0.187054
2015-01-07,0.212341
2015-01-08,0.29664
2015-01-09,0.152998
2015-01-10,0.174102
2015-01-11,0.04605
2015-01-12,0.27124
2015-01-13,0.08682
2015-01-14,0.0901759999999999
2015-01-15,0.187453
2015-01-16,0.15003
2015-01-17,0.223338
2015-01-18,0.188632
2015-01-19,0.217178
2015-01-20,0.3040319999999999
2015-01-21,0.154644
2015-01-22,0.151076
2015-01-23,0.224565
2015-01-24,0.203311
2015-01-25,0.335242
2015-01-26,0.251637
2015-01-27,0.138069
2015-01-28,0.175012
2015-01-29,0.004131
2015-01-30,0.221782
2015-01-31,0.2229759999999999
2015-02-01,0.26838
2015-02-02,0.21719
2015-02-03,0.196738
2015-02-04,0.1931149999999999
2015-02-05,0.225088
2015-02-06,0.258626
2015-02-07,0.293424
2015-02-08,0.234505
2015-02-09,0.207425
2015-02-10,0.035933
2015-02-11,0.2229459999999999
2015-02-12,0.316153
2015-02-13,0.137959
2015-02-14,0.126591
2015-02-15,0.1185479999999999
2015-02-16,0.2272159999999999
2015-02-17,0.213103
2015-02-18,0.2248549999999999
2015-02-19,0.202463
2015-02-20,0.199145
2015-02-21,0.2512
2015-02-22,0.226286
2015-02-23,0.224432
2015-02-24,0.288782
2015-02-25,0.244776
2015-02-26,0.268283
2015-02-27,0.074559
2015-02-28,0.18077
2015-03-01,0.14056
